facility_code,facility_name,county_name,district,facility_type,ownership,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
19955,Heri Tana Medical Clinic,Tana River,Tana Delta,Medical Clinic,Private Practice - Clinical Officer,6,0,f,f,Operational,-1.5,40.033333
17364,Heritage Medical Clinic,Kiambu,Kikuyu,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.033333,37.066667
10313,Heshima Clinic,Kirinyaga,Kirinyaga East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.533333,37.45
14547,Heshima Medical Clinic (Nakuru North),Nakuru,Nakuru North,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.303099,36.080026
19112,Heshima Medical Clinic-Masinga,Machakos,Masinga,Medical Clinic,Private Practice - Nurse / Midwife,0,2,f,f,Operational,-1.516667,37.266667
18445,Hessed Clinic Masiro,Siaya,Siaya,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,0.066667,34.283333
10316,Hezeman Afya Bora,Kirinyaga,Kirinyaga West,Laboratory (Stand-alone),Private Enterprise (Institution),0,0,f,f,Operational,-0.5,37.283333
16522,Hidaya Medical Clinic,Kilifi,Malindi,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-3.216667,40.116667
20859,Hifadhi Siha Clinic,Kajiado,Isinya,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.85,36.783333
19787,High Way Medical Clinic,Nyandarua,Nyandarua South,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-0.183333,36.366667
18844,Highrise Medical Services,Mombasa,Kisauni,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-4.043477,39.668205
13363,Highway Clinic (Wajir East),Wajir,Wajir East,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,1.75,40.066667
18022,Highway Mediacl Clinic (Nyeri North),Nyeri,Kieni East,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-0.416667,36.95
12060,Highway Medical Clinic,Meru,Meru Central,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,0.05,37.65
20714,High-Way Medical Clinic,Nyandarua,Kinangop,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-0.183333,36.366667
16708,Highway Medical Clinic (Bungoma East),Bungoma,Bungoma East,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,0.566667,34.566667
10318,Highway Medical Clinic (Kirinyaga),Kirinyaga,Kirinyaga Central,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-0.5,37.283333
19015,Highway Medical Clinic (Pokot Central),West Pokot,Pokot Central,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,1.233333,35.116667
14548,Highway Medical Clinic (Trans Nzoia East),Trans Nzoia,Trans Nzoia East,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,1.016667,34.983333
19876,Highway Medical Clinic Iten,Elgeyo Marakwet,Keiyo,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,,
10718,Highway Medical Clinic Kibingoti,Kirinyaga,Kirinyaga West,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
18924,Highway Medical Clinic Maua,Meru,Igembe South,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,0.05,37.65
10319,Highway Medical Enterprises,Kirinyaga,Kirinyaga Central,Laboratory (Stand-alone),Private Enterprise (Institution),0,0,f,f,Operational,-0.5,37.283333
19949,Hilac Medical Clinic-Habaswein,Wajir,Habaswein,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,1.75,40.066667
20648,Hillcrest Medical Clinic,Uasin Gishu,Eldoret East,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,0.516667,35.283333
19877,Hillday Medical Clinic,Nyandarua,Kipipiri,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.183333,36.366667
20616,Hillside medical centre,Machakos,Machakos,Medical Clinic,Private Practice - Medical Specialist,2,1,f,f,Operational,-1.286389,36.817223
11409,Hindi Magogoni Dispensary,Lamu,Lamu West,Dispensary,Ministry of Health,6,0,f,f,Operational,-2.266667,40.9
13364,Hodhan Dispensary,Wajir,Wajir East,Dispensary,Ministry of Health,0,0,f,f,Operational,1.75,40.066667
18035,Holale Medical Clinic ( Moyale),Marsabit,Moyale,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,2.333333,37.983333
18950,Holiday Medical Clinic,Tharaka Nithi,Maara,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,,
17766,Kabururu Dispensary,Tharaka Nithi,Meru South,Dispensary,Community,0,0,f,f,Operational,,
10393,Kabuti Clinic,Kirinyaga,Kirinyaga East,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
14633,Kabutii-Matiret Dispensary,Kericho,Belgut,Dispensary,Ministry of Health,3,0,f,f,Operational,-0.366667,35.283333
13639,Kabuto Dispensary,Migori,Nyatike,Dispensary,Ministry of Health,2,0,f,f,Operational,-1.066667,34.466667
17626,Kabwareng Dispensary,Nandi,Nandi Central,Dispensary,Ministry of Health,0,0,f,f,Operational,0.166667,35.133333
14634,Kacheliba District Hospital,West Pokot,North Pokot,District Hospital,Ministry of Health,52,2,f,f,Operational,1.233333,35.116667
14635,Kacheliba Mobile Clinic,West Pokot,North Pokot,Dispensary,Other Faith Based,0,0,f,f,Operational,1.233333,35.116667
19070,Kacheliba South West Clinic,West Pokot,North Pokot,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,1.233333,35.116667
18876,Kachuth Dispensary,Homa Bay,Ndhiwa,Dispensary,Ministry of Health,6,3,f,f,Operational,-0.516667,34.45
18937,Kaciongo Medical Clinic,Meru,Igembe South,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,0.05,37.65
11446,Kaderboy Medical Clinic (Old Town),Mombasa,Mvita,Dispensary,Local Authority,0,0,f,f,Operational,-4.043477,39.668205
17648,Kadija Dispensary,Mandera,Mandera East,Dispensary,Ministry of Health,0,0,f,f,Operational,3.933333,41.866667
16283,Kadinda Health Centre,Kisumu,Nyando,Health Centre,Non-Governmental Organizations,3,0,f,f,Operational,-0.10221,34.761711
17186,Kadokony Dispensary,West Pokot,West Pokot,Dispensary,Community Development Fund,0,0,f,f,Operational,1.233333,35.116667
17848,Kadvan Medical Clinic,Kakamega,Butere,Medical Clinic,Private Practice - Nurse / Midwife,1,1,f,f,Operational,0.284767,34.752308
11447,Kadzinuni Dispensary,Kilifi,Kilifi North,Dispensary,Ministry of Health,0,0,f,f,Operational,-3.633333,39.85
17381,Kaelo Dispensary,Meru,Igembe North,Dispensary,Ministry of Health,0,0,f,f,Pending Opening,0.05,37.65
20239,Hope and Health Medical Services,Kiambu,Limuru,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-1.166667,36.833333
16983,Hope Compassionate (ACK) Dispensary,Homa Bay,Homa Bay,Dispensary,Christian Health Association of Kenya,0,0,f,f,Operational,-0.516667,34.45
17446,Hope Medical Clinic,Kiambu,Limuru,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.166667,36.833333
19278,Hope Medical Clinic ( Githurai),Nairobi,Roysambu,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
19234,Hope Medical Clinic (Babadogo),Nairobi,Ruaraka,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.286389,36.817223
10323,Hope Medical Clinic (Gatundu South),Kiambu,Gatundu,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-1.166667,36.833333
10325,Hope Medical Clinic (Kirinyaga),Kirinyaga,Kirinyaga West,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
18994,Hope Medical Clinic (Loitokitok),Kajiado,Loitoktok,Medical Clinic,Private Practice - Clinical Officer,1,0,f,f,Operational,-1.85,36.783333
17869,Hope Medical Clinic (Mariakani),Kilifi,Kaloleni,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-3.633333,39.85
16686,Hope Medical Clinic (Nakuru),Nakuru,Nakuru North,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.303099,36.080026
19114,Hope World Wide,Uasin Gishu,Eldoret West,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.286389,36.817223
17684,Hope World Wide Kenya Mukuru Clinic,Nairobi,Embakasi South,Dispensary,Non-Governmental Organizations,0,0,f,f,Operational,-1.286389,36.817223
18875,Hope World Wide Nakuru,Nakuru,Nakuru,Medical Clinic,Other Faith Based,0,0,f,f,Operational,-1.286389,36.817223
19373,Horeb Medical Clinic ( Hunters),Nairobi,Kasarani,Medical Clinic,Private Practice - General Practitioner,0,0,f,f,Operational,-1.286389,36.817223
11415,Horesha Medicalicare,Taita Taveta,Mwatate,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,,
